team,score
Atlanta Hawks,6
Boston Celtics,8
Brooklyn Nets,26
Charlotte Hornets,10
Chicago Bulls,10
Cleveland Cavaliers,46
Dallas Mavericks,0
Denver Nuggets,38
Detroit Pistons,22
Golden State Warriors,14
Houston Rockets,10
Indiana Pacers,36
LA Clippers,0
Los Angeles Lakers,38
Memphis Grizzlies,6
Miami Heat,44
Milwaukee Bucks,4
Minnesota Timberwolves,10
New Orleans Pelicans,2
New York Knicks,24
Oklahoma City Thunder,18
Orlando Magic,26
Philadelphia 76ers,22
Phoenix Suns,26
Portland Trail Blazers,16
Sacramento Kings,12
San Antonio Spurs,48
Toronto Raptors,10
Utah Jazz,14
Washington Wizards,8
