gameDate,weekDay,homeTeam,homeTeamEdition,homeTeamHex,awayTeam,awayTeamEdition,awayTeamHex
10/24/2023,Tuesday,Denver Nuggets,Statement Edition,#1a428a,Los Angeles Lakers,Icon Edition,#ffc629
10/24/2023,Tuesday,Golden State Warriors,Association Edition,#ffffff,Phoenix Suns,Icon Edition,#201747
10/25/2023,Wednesday,Charlotte Hornets,Classic Edition,#00758D,Atlanta Hawks,Statement Edition,#000000
10/25/2023,Wednesday,Indiana Pacers,Icon Edition,#0a2240,Washington Wizards,Association Edition,#ffffff
10/25/2023,Wednesday,New York Knicks,Association Edition,#ffffff,Boston Celtics,Icon Edition,#007934
10/25/2023,Wednesday,Orlando Magic,Classic Edition,#005FAE,Houston Rockets,Icon Edition,#ce0e2d
10/25/2023,Wednesday,Brooklyn Nets,Icon Edition,#000000,Cleveland Cavaliers,Association Edition,#ffffff
10/25/2023,Wednesday,Miami Heat,Association Edition,#ffffff,Detroit Pistons,Statement Edition,#1d252c
10/25/2023,Wednesday,Toronto Raptors,Icon Edition,#ce0e2d,Minnesota Timberwolves,Association Edition,#ffffff
10/25/2023,Wednesday,Chicago Bulls,Association Edition,#ffffff,Oklahoma City Thunder,Icon Edition,#0071ce
10/25/2023,Wednesday,Memphis Grizzlies,Association Edition,#ffffff,New Orleans Pelicans,Icon Edition,#0a2240
10/25/2023,Wednesday,Utah Jazz,Classic Edition,#582C5F,Sacramento Kings,Association Edition,#ffffff
10/25/2023,Wednesday,San Antonio Spurs,Association Edition,#ffffff,Dallas Mavericks,Statement Edition,#0a2240
10/25/2023,Wednesday,LA Clippers,Icon Edition,#1a428a,Portland Trail Blazers,Association Edition,#ffffff
10/26/2023,Thursday,Milwaukee Bucks,Icon Edition,#295135,Philadelphia 76ers,Association Edition,#ffffff
10/26/2023,Thursday,Los Angeles Lakers,Icon Edition,#ffc629,Phoenix Suns,Icon Edition,#201747
10/27/2023,Friday,Charlotte Hornets,Icon Edition,#00758d,Detroit Pistons,Statement Edition,#1d252c
10/27/2023,Friday,Memphis Grizzlies,Statement Edition,#7c9ac0,Denver Nuggets,Icon Edition,#0a2240
10/27/2023,Friday,Atlanta Hawks,Statement Edition,#000000,New York Knicks,Association Edition,#ffffff
10/27/2023,Friday,Boston Celtics,Association Edition,#ffffff,Miami Heat,Icon Edition,#000000
10/27/2023,Friday,Cleveland Cavaliers,Association Edition,#ffffff,Oklahoma City Thunder,Icon Edition,#0071ce
10/27/2023,Friday,Chicago Bulls,Association Edition,#ffffff,Toronto Raptors,Statement Edition,#000000
10/27/2023,Friday,San Antonio Spurs,Icon Edition,#000000,Houston Rockets,Association Edition,#ffffff
10/27/2023,Friday,Dallas Mavericks,Statement Edition,#0a2240,Brooklyn Nets,Association Edition,#ffffff
10/27/2023,Friday,Utah Jazz,Statement Edition,#000000,LA Clippers,Association Edition,#ffffff
10/27/2023,Friday,Portland Trail Blazers,Statement Edition,#ce0e2d,Orlando Magic,Icon Edition,#000000
10/27/2023,Friday,Sacramento Kings,Icon Edition,#000000,Golden State Warriors,Association Edition,#ffffff
10/28/2023,Saturday,Detroit Pistons,Icon Edition,#1a428a,Chicago Bulls,Icon Edition,#ce0e2d
10/28/2023,Saturday,Washington Wizards,Statement Edition,#0a2240,Memphis Grizzlies,Association Edition,#ffffff
10/28/2023,Saturday,New Orleans Pelicans,Statement Edition,#CE0E2D,New York Knicks,Icon Edition,#1a428a
10/28/2023,Saturday,Cleveland Cavaliers,Icon Edition,#72253d,Indiana Pacers,Association Edition,#ffffff
10/28/2023,Saturday,Toronto Raptors,Icon Edition,#ce0e2d,Philadelphia 76ers,Association Edition,#ffffff
