gameDate,weekDay,homeTeam,homeTeamEdition,homeTeamHex,awayTeam,awayTeamEdition,awayTeamHex
10/28/2023,Saturday,Minnesota Timberwolves,Association Edition,#ffffff,Miami Heat,Icon Edition,#000000
10/28/2023,Saturday,Phoenix Suns,Association Edition,#ffffff,Utah Jazz,Statement Edition,#000000
10/29/2023,Sunday,Oklahoma City Thunder,Icon Edition,#0071ce,Denver Nuggets,Association Edition,#ffffff
10/29/2023,Sunday,Houston Rockets,Icon Edition,#ce0e2d,Golden State Warriors,Icon Edition,#1a428a
10/29/2023,Sunday,Milwaukee Bucks,Association Edition,#ffffff,Atlanta Hawks,Icon Edition,#ce0e2d
10/29/2023,Sunday,Philadelphia 76ers,Icon Edition,#1A428A,Portland Trail Blazers,Association Edition,#ffffff
10/29/2023,Sunday,LA Clippers,Association Edition,#ffffff,San Antonio Spurs,Icon Edition,#000000
10/29/2023,Sunday,Sacramento Kings,Icon Edition,#000000,Los Angeles Lakers,Association Edition,#ffffff
10/30/2023,Monday,Charlotte Hornets,Association Edition,#ffffff,Brooklyn Nets,Statement Edition,#000000
10/30/2023,Monday,Indiana Pacers,Statement Edition,#ffc629,Chicago Bulls,Icon Edition,#ce0e2d
10/30/2023,Monday,Washington Wizards,Association Edition,#ffffff,Boston Celtics,Icon Edition,#007934
10/30/2023,Monday,Atlanta Hawks,Icon Edition,#ce0e2d,Minnesota Timberwolves,Association Edition,#ffffff
10/30/2023,Monday,Toronto Raptors,Association Edition,#ffffff,Portland Trail Blazers,Icon Edition,#000000
10/30/2023,Monday,Memphis Grizzlies,Icon Edition,#0a2240,Dallas Mavericks,Association Edition,#ffffff
10/30/2023,Monday,Milwaukee Bucks,Icon Edition,#295135,Miami Heat,Association Edition,#ffffff
10/30/2023,Monday,New Orleans Pelicans,Statement Edition,#CE0E2D,Golden State Warriors,Icon Edition,#1a428a
10/30/2023,Monday,Oklahoma City Thunder,Icon Edition,#0071ce,Detroit Pistons,Statement Edition,#1d252c
10/30/2023,Monday,Denver Nuggets,Icon Edition,#0a2240,Utah Jazz,Association Edition,#ffffff
10/30/2023,Monday,Los Angeles Lakers,Icon Edition,#ffc629,Orlando Magic,Classic Edition,#005FAE
10/31/2023,Tuesday,Cleveland Cavaliers,Statement Edition,#000000,New York Knicks,Association Edition,#ffffff
10/31/2023,Tuesday,Phoenix Suns,Statement Edition,#000000,San Antonio Spurs,Association Edition,#ffffff
10/31/2023,Tuesday,LA Clippers,Icon Edition,#1a428a,Orlando Magic,Association Edition,#ffffff
11/01/2023,Wednesday,Detroit Pistons,Association Edition,#ffffff,Portland Trail Blazers,Icon Edition,#000000
11/01/2023,Wednesday,Toronto Raptors,Icon Edition,#ce0e2d,Milwaukee Bucks,Association Edition,#ffffff
11/01/2023,Wednesday,Atlanta Hawks,Association Edition,#ffffff,Washington Wizards,Statement Edition,#0a2240
11/01/2023,Wednesday,Boston Celtics,Statement Edition,#000000,Indiana Pacers,Statement Edition,#ffc629
11/01/2023,Wednesday,Miami Heat,Association Edition,#ffffff,Brooklyn Nets,Statement Edition,#000000
11/01/2023,Wednesday,New York Knicks,Statement Edition,#0a2240,Cleveland Cavaliers,Association Edition,#ffffff
11/01/2023,Wednesday,Oklahoma City Thunder,Association Edition,#ffffff,New Orleans Pelicans,Icon Edition,#0a2240
11/01/2023,Wednesday,Houston Rockets,Icon Edition,#ce0e2d,Charlotte Hornets,Association Edition,#ffffff
11/01/2023,Wednesday,Minnesota Timberwolves,Association Edition,#ffffff,Denver Nuggets,Icon Edition,#0a2240
11/01/2023,Wednesday,Dallas Mavericks,Association Edition,#ffffff,Chicago Bulls,Icon Edition,#ce0e2d
11/01/2023,Wednesday,Utah Jazz,Statement Edition,#000000,Memphis Grizzlies,Statement Edition,#7c9ac0
11/01/2023,Wednesday,Golden State Warriors,Statement Edition,#272e53,Sacramento Kings,Association Edition,#ffffff
11/01/2023,Wednesday,Los Angeles Lakers,Icon Edition,#ffc629,LA Clippers,Statement Edition,#000000
11/02/2023,Thursday,Philadelphia 76ers,Icon Edition,#1A428A,Toronto Raptors,Association Edition,#ffffff
11/02/2023,Thursday,New Orleans Pelicans,Association Edition,#ffffff,Detroit Pistons,Icon Edition,#1a428a
11/02/2023,Thursday,Utah Jazz,Association Edition,#ffffff,Orlando Magic,Classic Edition,#005FAE
11/02/2023,Thursday,Phoenix Suns,Icon Edition,#201747,San Antonio Spurs,Association Edition,#ffffff
11/03/2023,Friday,Indiana Pacers,City Edition,#000000,Cleveland Cavaliers,Association Edition,#ffffff
11/03/2023,Friday,Milwaukee Bucks,City Edition,#005FAE,New York Knicks,Association Edition,#ffffff
11/03/2023,Friday,Miami Heat,City Edition,#000000,Washington Wizards,Association Edition,#ffffff
11/03/2023,Friday,Chicago Bulls,City Edition,#000000,Brooklyn Nets,Association Edition,#ffffff
11/03/2023,Friday,Oklahoma City Thunder,City Edition,#0A2240,Golden State Warriors,Association Edition,#ffffff
11/03/2023,Friday,Denver Nuggets,City Edition,#000000,Dallas Mavericks,Association Edition,#ffffff
11/03/2023,Friday,Portland Trail Blazers,City Edition,#000000,Memphis Grizzlies,Association Edition,#ffffff
11/04/2023,Saturday,Philadelphia 76ers,City Edition,#0A2240,Phoenix Suns,Association Edition,#ffffff
11/04/2023,Saturday,Indiana Pacers,Association Edition,#ffffff,Charlotte Hornets,Statement Edition,#201747
11/04/2023,Saturday,Orlando Magic,Icon Edition,#000000,Los Angeles Lakers,Association Edition,#ffffff
11/04/2023,Saturday,New Orleans Pelicans,City Edition,#000000,Atlanta Hawks,Icon Edition,#ce0e2d
11/04/2023,Saturday,Brooklyn Nets,City Edition,#000000,Boston Celtics,Association Edition,#ffffff
11/04/2023,Saturday,Houston Rockets,Statement Edition,#000000,Sacramento Kings,Association Edition,#ffffff
11/04/2023,Saturday,Minnesota Timberwolves,City Edition,#236092,Utah Jazz,Association Edition,#ffffff
11/04/2023,Saturday,Denver Nuggets,Statement Edition,#1a428a,Chicago Bulls,Icon Edition,#ce0e2d
11/05/2023,Sunday,Detroit Pistons,City Edition,#000000,Phoenix Suns,Association Edition,#ffffff
11/05/2023,Sunday,San Antonio Spurs,Statement Edition,#000000,Toronto Raptors,Association Edition,#ffffff
11/05/2023,Sunday,Cleveland Cavaliers,Statement Edition,#000000,Golden State Warriors,Association Edition,#ffffff
11/05/2023,Sunday,Dallas Mavericks,Icon Edition,#005fae,Charlotte Hornets,Association Edition,#ffffff
11/05/2023,Sunday,Portland Trail Blazers,Association Edition,#ffffff,Memphis Grizzlies,Statement Edition,#7c9ac0
11/06/2023,Monday,Detroit Pistons,Association Edition,#ffffff,Golden State Warriors,Icon Edition,#1a428a
11/06/2023,Monday,Indiana Pacers,Icon Edition,#0a2240,San Antonio Spurs,Association Edition,#ffffff
11/06/2023,Monday,Orlando Magic,City Edition,#0A2240,Dallas Mavericks,Association Edition,#ffffff
11/06/2023,Monday,Philadelphia 76ers,Icon Edition,#1A428A,Washington Wizards,Association Edition,#ffffff
11/06/2023,Monday,Brooklyn Nets,Icon Edition,#000000,Milwaukee Bucks,Association Edition,#ffffff
11/06/2023,Monday,Miami Heat,City Edition,#000000,Los Angeles Lakers,Icon Edition,#ffc629
11/06/2023,Monday,New York Knicks,Statement Edition,#0a2240,LA Clippers,Association Edition,#ffffff
11/06/2023,Monday,Chicago Bulls,Association Edition,#ffffff,Utah Jazz,Statement Edition,#000000
11/06/2023,Monday,Houston Rockets,Icon Edition,#ce0e2d,Sacramento Kings,Icon Edition,#000000
11/06/2023,Monday,Minnesota Timberwolves,Association Edition,#ffffff,Boston Celtics,Icon Edition,#007934
11/06/2023,Monday,Oklahoma City Thunder,Statement Edition,#ff4438,Atlanta Hawks,Association Edition,#ffffff
11/06/2023,Monday,Denver Nuggets,Association Edition,#ffffff,New Orleans Pelicans,Icon Edition,#0a2240
11/08/2023,Wednesday,Charlotte Hornets,Association Edition,#ffffff,Washington Wizards,Statement Edition,#0a2240
11/08/2023,Wednesday,Indiana Pacers,Icon Edition,#0a2240,Utah Jazz,Association Edition,#ffffff
11/08/2023,Wednesday,Philadelphia 76ers,Icon Edition,#1A428A,Boston Celtics,Association Edition,#ffffff
11/08/2023,Wednesday,Brooklyn Nets,Association Edition,#ffffff,LA Clippers,Icon Edition,#1a428a
11/08/2023,Wednesday,New York Knicks,City Edition,#1A428A,San Antonio Spurs,Association Edition,#ffffff
11/08/2023,Wednesday,Chicago Bulls,Statement Edition,#000000,Phoenix Suns,Association Edition,#ffffff
11/08/2023,Wednesday,Houston Rockets,City Edition,#ffffff,Los Angeles Lakers,Statement Edition,#592c82
11/08/2023,Wednesday,Memphis Grizzlies,Statement Edition,#7c9ac0,Miami Heat,Statement Edition,#8a2432
11/08/2023,Wednesday,Milwaukee Bucks,Association Edition,#ffffff,Detroit Pistons,City Edition,#000000
11/08/2023,Wednesday,Minnesota Timberwolves,Classic Edition,#ffffff,New Orleans Pelicans,Statement Edition,#CE0E2D
11/08/2023,Wednesday,Oklahoma City Thunder,Statement Edition,#ff4438,Cleveland Cavaliers,Association Edition,#ffffff
11/08/2023,Wednesday,Dallas Mavericks,Icon Edition,#005fae,Toronto Raptors,Icon Edition,#ce0e2d
11/08/2023,Wednesday,Denver Nuggets,Icon Edition,#0a2240,Golden State Warriors,Association Edition,#ffffff
11/08/2023,Wednesday,Sacramento Kings,Association Edition,#ffffff,Portland Trail Blazers,City Edition,#000000
11/09/2023,Thursday,Indiana Pacers,City Edition,#000000,Milwaukee Bucks,Association Edition,#ffffff
11/09/2023,Thursday,Orlando Magic,Icon Edition,#000000,Atlanta Hawks,Icon Edition,#ce0e2d
11/10/2023,Friday,Detroit Pistons,City Edition,#000000,Philadelphia 76ers,Association Edition,#ffffff
11/10/2023,Friday,Washington Wizards,City Edition,#000000,Charlotte Hornets,Association Edition,#ffffff
11/10/2023,Friday,Boston Celtics,City Edition,#EDE9E3,Brooklyn Nets,Icon Edition,#000000
11/10/2023,Friday,Houston Rockets,City Edition,#ffffff,New Orleans Pelicans,Icon Edition,#0a2240
11/10/2023,Friday,Memphis Grizzlies,City Edition,#000000,Utah Jazz,Association Edition,#ffffff
11/10/2023,Friday,San Antonio Spurs,City Edition,#ffffff,Minnesota Timberwolves,Icon Edition,#0a2240
11/10/2023,Friday,Dallas Mavericks,City Edition,#000000,LA Clippers,Association Edition,#ffffff
11/10/2023,Friday,Phoenix Suns,City Edition,#1D1934,Los Angeles Lakers,Icon Edition,#ffc629
11/10/2023,Friday,Sacramento Kings,City Edition,#1A428A,Oklahoma City Thunder,Association Edition,#ffffff
11/11/2023,Saturday,Atlanta Hawks,City Edition,#000000,Miami Heat,Association Edition,#ffffff
11/11/2023,Saturday,Golden State Warriors,City Edition,#000000,Cleveland Cavaliers,Association Edition,#ffffff
11/11/2023,Saturday,Orlando Magic,Classic Edition,#005FAE,Milwaukee Bucks,Association Edition,#ffffff
11/11/2023,Saturday,Boston Celtics,Association Edition,#ffffff,Toronto Raptors,Icon Edition,#ce0e2d
11/12/2023,Sunday,New York Knicks,Association Edition,#ffffff,Charlotte Hornets,Icon Edition,#00758d
11/12/2023,Sunday,Brooklyn Nets,City Edition,#000000,Washington Wizards,Icon Edition,#ce0e2d
11/12/2023,Sunday,LA Clippers,City Edition,#0A2240,Memphis Grizzlies,Statement Edition,#7c9ac0
11/12/2023,Sunday,Philadelphia 76ers,Association Edition,#ffffff,Indiana Pacers,Icon Edition,#0a2240
11/12/2023,Sunday,Chicago Bulls,Association Edition,#ffffff,Detroit Pistons,City Edition,#000000
11/12/2023,Sunday,Houston Rockets,Icon Edition,#ce0e2d,Denver Nuggets,Statement Edition,#1a428a
11/12/2023,Sunday,New Orleans Pelicans,Association Edition,#ffffff,Dallas Mavericks,Statement Edition,#0a2240
11/12/2023,Sunday,San Antonio Spurs,Association Edition,#ffffff,Miami Heat,Statement Edition,#8a2432
11/12/2023,Sunday,Phoenix Suns,Association Edition,#ffffff,Oklahoma City Thunder,Icon Edition,#0071ce
11/12/2023,Sunday,Golden State Warriors,City Edition,#000000,Minnesota Timberwolves,Classic Edition,#ffffff
11/12/2023,Sunday,Los Angeles Lakers,Association Edition,#ffffff,Portland Trail Blazers,City Edition,#000000
11/13/2023,Monday,Boston Celtics,Statement Edition,#000000,New York Knicks,Association Edition,#ffffff
11/13/2023,Monday,Toronto Raptors,Association Edition,#ffffff,Washington Wizards,Icon Edition,#ce0e2d
11/13/2023,Monday,Milwaukee Bucks,Association Edition,#ffffff,Chicago Bulls,Statement Edition,#000000
11/13/2023,Monday,Sacramento Kings,Association Edition,#ffffff,Cleveland Cavaliers,Statement Edition,#000000
11/14/2023,Tuesday,Charlotte Hornets,City Edition,#00758D,Miami Heat,Association Edition,#ffffff
11/14/2023,Tuesday,Detroit Pistons,City Edition,#000000,Atlanta Hawks,Association Edition,#ffffff
11/14/2023,Tuesday,Philadelphia 76ers,City Edition,#0A2240,Indiana Pacers,Association Edition,#ffffff
11/14/2023,Tuesday,Brooklyn Nets,City Edition,#000000,Orlando Magic,Association Edition,#ffffff
11/14/2023,Tuesday,Oklahoma City Thunder,City Edition,#0A2240,San Antonio Spurs,Association Edition,#ffffff
11/14/2023,Tuesday,New Orleans Pelicans,City Edition,#000000,Dallas Mavericks,Association Edition,#ffffff
11/14/2023,Tuesday,Utah Jazz,City Edition,#592C82,Portland Trail Blazers,Association Edition,#ffffff
11/14/2023,Tuesday,Denver Nuggets,City Edition,#000000,LA Clippers,Association Edition,#ffffff
11/14/2023,Tuesday,Golden State Warriors,City Edition,#000000,Minnesota Timberwolves,Association Edition,#ffffff
11/14/2023,Tuesday,Los Angeles Lakers,City Edition,#000000,Memphis Grizzlies,Association Edition,#ffffff
11/15/2023,Wednesday,Washington Wizards,Association Edition,#ffffff,Dallas Mavericks,Statement Edition,#0a2240
11/15/2023,Wednesday,Atlanta Hawks,Statement Edition,#000000,New York Knicks,Association Edition,#ffffff
11/15/2023,Wednesday,Philadelphia 76ers,Icon Edition,#1A428A,Boston Celtics,City Edition,#EDE9E3
11/15/2023,Wednesday,Toronto Raptors,Statement Edition,#000000,Milwaukee Bucks,Association Edition,#ffffff
11/15/2023,Wednesday,Chicago Bulls,Association Edition,#ffffff,Orlando Magic,Classic Edition,#005FAE
11/15/2023,Wednesday,Phoenix Suns,Statement Edition,#000000,Minnesota Timberwolves,Classic Edition,#ffffff
11/15/2023,Wednesday,Los Angeles Lakers,Icon Edition,#ffc629,Sacramento Kings,Statement Edition,#592C82
11/15/2023,Wednesday,Portland Trail Blazers,Statement Edition,#ce0e2d,Cleveland Cavaliers,Statement Edition,#000000
11/16/2023,Thursday,Miami Heat,City Edition,#000000,Brooklyn Nets,Association Edition,#ffffff
11/16/2023,Thursday,Golden State Warriors,Statement Edition,#272e53,Oklahoma City Thunder,Association Edition,#ffffff
11/17/2023,Friday,Charlotte Hornets,City Edition,#00758D,Milwaukee Bucks,Association Edition,#ffffff
11/17/2023,Friday,Washington Wizards,City Edition,#000000,New York Knicks,Association Edition,#ffffff
11/17/2023,Friday,Atlanta Hawks,City Edition,#000000,Philadelphia 76ers,Association Edition,#ffffff
11/17/2023,Friday,Cleveland Cavaliers,City Edition,#8A2432,Detroit Pistons,Association Edition,#ffffff
11/17/2023,Friday,Toronto Raptors,City Edition,#BC955C,Boston Celtics,Association Edition,#ffffff
11/17/2023,Friday,San Antonio Spurs,City Edition,#ffffff,Sacramento Kings,Icon Edition,#000000
11/17/2023,Friday,Chicago Bulls,City Edition,#000000,Orlando Magic,Association Edition,#ffffff
11/17/2023,Friday,New Orleans Pelicans,City Edition,#000000,Denver Nuggets,Association Edition,#ffffff
11/17/2023,Friday,Utah Jazz,City Edition,#592C82,Phoenix Suns,Association Edition,#ffffff
11/17/2023,Friday,Portland Trail Blazers,City Edition,#000000,Los Angeles Lakers,Icon Edition,#ffc629
11/17/2023,Friday,LA Clippers,City Edition,#0A2240,Houston Rockets,Association Edition,#ffffff
11/18/2023,Saturday,Charlotte Hornets,Classic Edition,#00758D,New York Knicks,Association Edition,#ffffff
11/18/2023,Saturday,New Orleans Pelicans,Statement Edition,#CE0E2D,Minnesota Timberwolves,Classic Edition,#ffffff
11/18/2023,Saturday,Chicago Bulls,Statement Edition,#000000,Miami Heat,Association Edition,#ffffff
11/18/2023,Saturday,Milwaukee Bucks,Statement Edition,#000000,Dallas Mavericks,Association Edition,#ffffff
11/18/2023,Saturday,San Antonio Spurs,Association Edition,#ffffff,Memphis Grizzlies,Statement Edition,#7c9ac0
11/18/2023,Saturday,Golden State Warriors,Statement Edition,#272e53,Oklahoma City Thunder,Association Edition,#ffffff
11/19/2023,Sunday,Brooklyn Nets,City Edition,#000000,Philadelphia 76ers,Association Edition,#ffffff
11/19/2023,Sunday,Indiana Pacers,Statement Edition,#ffc629,Orlando Magic,Statement Edition,#0055b8
11/19/2023,Sunday,Cleveland Cavaliers,Icon Edition,#72253d,Denver Nuggets,Statement Edition,#1a428a
11/19/2023,Sunday,Toronto Raptors,Icon Edition,#ce0e2d,Detroit Pistons,Statement Edition,#1d252c
11/19/2023,Sunday,Dallas Mavericks,Statement Edition,#0a2240,Sacramento Kings,Association Edition,#ffffff
11/19/2023,Sunday,Memphis Grizzlies,Association Edition,#ffffff,Boston Celtics,Icon Edition,#007934
11/19/2023,Sunday,Utah Jazz,Statement Edition,#000000,Phoenix Suns,Association Edition,#ffffff
11/19/2023,Sunday,Portland Trail Blazers,Icon Edition,#000000,Oklahoma City Thunder,Association Edition,#ffffff
11/19/2023,Sunday,Los Angeles Lakers,Association Edition,#ffffff,Houston Rockets,Statement Edition,#000000
11/20/2023,Monday,Charlotte Hornets,Icon Edition,#00758d,Boston Celtics,Statement Edition,#000000
11/20/2023,Monday,Detroit Pistons,Statement Edition,#1d252c,Denver Nuggets,Association Edition,#ffffff
11/20/2023,Monday,Washington Wizards,Icon Edition,#ce0e2d,Milwaukee Bucks,Association Edition,#ffffff
11/20/2023,Monday,Chicago Bulls,Association Edition,#ffffff,Miami Heat,Icon Edition,#000000
11/20/2023,Monday,Minnesota Timberwolves,Statement Edition,#373a36,New York Knicks,Association Edition,#ffffff
11/20/2023,Monday,New Orleans Pelicans,Statement Edition,#CE0E2D,Sacramento Kings,Icon Edition,#000000
11/20/2023,Monday,San Antonio Spurs,City Edition,#ffffff,LA Clippers,Icon Edition,#1a428a
11/20/2023,Monday,Golden State Warriors,City Edition,#000000,Houston Rockets,Association Edition,#ffffff
11/21/2023,Tuesday,Orlando Magic,City Edition,#0A2240,Toronto Raptors,Association Edition,#ffffff
11/21/2023,Tuesday,Atlanta Hawks,City Edition,#000000,Indiana Pacers,Association Edition,#ffffff
11/21/2023,Tuesday,Philadelphia 76ers,City Edition,#0A2240,Cleveland Cavaliers,Association Edition,#ffffff
11/21/2023,Tuesday,Phoenix Suns,City Edition,#1D1934,Portland Trail Blazers,Association Edition,#ffffff
11/21/2023,Tuesday,Los Angeles Lakers,City Edition,#000000,Utah Jazz,Association Edition,#ffffff
11/22/2023,Wednesday,Charlotte Hornets,Association Edition,#ffffff,Washington Wizards,Icon Edition,#ce0e2d
11/22/2023,Wednesday,Orlando Magic,Statement Edition,#0055b8,Denver Nuggets,Association Edition,#ffffff
11/22/2023,Wednesday,Atlanta Hawks,Icon Edition,#ce0e2d,Brooklyn Nets,Statement Edition,#000000
11/22/2023,Wednesday,Boston Celtics,Statement Edition,#000000,Milwaukee Bucks,Association Edition,#ffffff
11/22/2023,Wednesday,Cleveland Cavaliers,Association Edition,#ffffff,Miami Heat,Icon Edition,#000000
11/22/2023,Wednesday,Indiana Pacers,Association Edition,#ffffff,Toronto Raptors,Icon Edition,#ce0e2d
11/22/2023,Wednesday,Houston Rockets,City Edition,#ffffff,Memphis Grizzlies,Icon Edition,#0a2240
11/22/2023,Wednesday,Minnesota Timberwolves,Icon Edition,#0a2240,Philadelphia 76ers,Association Edition,#ffffff
11/22/2023,Wednesday,New Orleans Pelicans,Icon Edition,#0a2240,Sacramento Kings,Association Edition,#ffffff
11/22/2023,Wednesday,Oklahoma City Thunder,Association Edition,#ffffff,Chicago Bulls,Icon Edition,#ce0e2d
11/22/2023,Wednesday,San Antonio Spurs,Statement Edition,#000000,LA Clippers,Association Edition,#ffffff
11/22/2023,Wednesday,Phoenix Suns,Association Edition,#ffffff,Golden State Warriors,City Edition,#000000
11/22/2023,Wednesday,Portland Trail Blazers,City Edition,#000000,Utah Jazz,Icon Edition,#fcdb1f
11/22/2023,Wednesday,Los Angeles Lakers,Icon Edition,#ffc629,Dallas Mavericks,Association Edition,#ffffff
11/24/2023,Friday,Orlando Magic,City Edition,#0A2240,Boston Celtics,Association Edition,#ffffff
11/24/2023,Friday,Memphis Grizzlies,City Edition,#000000,Phoenix Suns,Association Edition,#ffffff
11/24/2023,Friday,New York Knicks,City Edition,#1A428A,Miami Heat,Association Edition,#ffffff
11/24/2023,Friday,Toronto Raptors,City Edition,#BC955C,Chicago Bulls,Association Edition,#ffffff
11/24/2023,Friday,Indiana Pacers,City Edition,#000000,Detroit Pistons,Association Edition,#ffffff
11/24/2023,Friday,Houston Rockets,City Edition,#ffffff,Denver Nuggets,Icon Edition,#0a2240
11/24/2023,Friday,Milwaukee Bucks,City Edition,#005FAE,Washington Wizards,Association Edition,#ffffff
11/24/2023,Friday,Minnesota Timberwolves,City Edition,#236092,Sacramento Kings,Association Edition,#ffffff
11/24/2023,Friday,Golden State Warriors,City Edition,#000000,San Antonio Spurs,Association Edition,#ffffff
11/24/2023,Friday,LA Clippers,City Edition,#0A2240,New Orleans Pelicans,Association Edition,#ffffff
11/25/2023,Saturday,Oklahoma City Thunder,Association Edition,#ffffff,Philadelphia 76ers,Icon Edition,#1A428A
11/25/2023,Saturday,Brooklyn Nets,Icon Edition,#000000,Miami Heat,Association Edition,#ffffff
11/25/2023,Saturday,Washington Wizards,Statement Edition,#0a2240,Atlanta Hawks,Association Edition,#ffffff
11/25/2023,Saturday,Cleveland Cavaliers,Statement Edition,#000000,Los Angeles Lakers,Association Edition,#ffffff
11/25/2023,Saturday,Utah Jazz,Association Edition,#ffffff,New Orleans Pelicans,City Edition,#000000
11/25/2023,Saturday,LA Clippers,Statement Edition,#000000,Dallas Mavericks,Association Edition,#ffffff
11/26/2023,Sunday,Milwaukee Bucks,Icon Edition,#295135,Portland Trail Blazers,Association Edition,#ffffff
11/26/2023,Sunday,Boston Celtics,Association Edition,#ffffff,Atlanta Hawks,Statement Edition,#000000
11/26/2023,Sunday,New York Knicks,Statement Edition,#0a2240,Phoenix Suns,Association Edition,#ffffff
11/26/2023,Sunday,Orlando Magic,Association Edition,#ffffff,Charlotte Hornets,Statement Edition,#201747
11/26/2023,Sunday,Memphis Grizzlies,Statement Edition,#7c9ac0,Minnesota Timberwolves,Statement Edition,#373a36
11/26/2023,Sunday,Brooklyn Nets,Icon Edition,#000000,Chicago Bulls,Icon Edition,#ce0e2d
11/26/2023,Sunday,Cleveland Cavaliers,Association Edition,#ffffff,Toronto Raptors,Icon Edition,#ce0e2d
11/26/2023,Sunday,Denver Nuggets,Icon Edition,#0a2240,San Antonio Spurs,City Edition,#ffffff
11/27/2023,Monday,Detroit Pistons,Icon Edition,#1a428a,Washington Wizards,Association Edition,#ffffff
11/27/2023,Monday,Indiana Pacers,Icon Edition,#0a2240,Portland Trail Blazers,Statement Edition,#ce0e2d
11/27/2023,Monday,Philadelphia 76ers,City Edition,#0A2240,Los Angeles Lakers,Icon Edition,#ffc629
11/27/2023,Monday,Utah Jazz,Classic Edition,#582C5F,New Orleans Pelicans,Association Edition,#ffffff
11/27/2023,Monday,LA Clippers,Icon Edition,#1a428a,Denver Nuggets,Association Edition,#ffffff
11/28/2023,Tuesday,Boston Celtics,City Edition,#EDE9E3,Chicago Bulls,City Edition,#000000
11/28/2023,Tuesday,Brooklyn Nets,City Edition,#000000,Toronto Raptors,Association Edition,#ffffff
11/28/2023,Tuesday,Cleveland Cavaliers,City Edition,#8A2432,Atlanta Hawks,Association Edition,#ffffff
