gameDate,weekDay,homeTeam,homeTeamEdition,homeCombo,homeTeamBGColor,homeTeamColor,awayTeam,awayTeamEdition,awayCombo,awayTeamBGColor,awayTeamColor,courtMain,courtSecondary
11/1/2013,Friday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/1/2013,Friday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
11/1/2013,Friday ,Atlanta Hawks,Alternate,Atlanta Hawks Alternate,#C8102E,,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,,
11/1/2013,Friday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
11/1/2013,Saturday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/1/2013,Saturday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/1/2013,Saturday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
11/1/2013,Saturday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/1/2013,Saturday ,Sacramento Kings,Alternate,Sacramento Kings Alternate,#000000,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
11/2/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Toronto Raptors,Alternate,Toronto Raptors Alternate,#000000,,,
11/2/2013,Saturday ,Golden State Warriors,Alternate,Golden State Warriors Alternate,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
11/2/2013,Saturday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/2/2013,Saturday ,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,,
11/2/2013,Saturday ,Indiana Pacers,Alternate,Indiana Pacers Alternate,#FFC72D,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/2/2013,Saturday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/2/2013,Saturday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/2/2013,Saturday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
11/3/2013,Sunday ,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,Boston Celtics,Home,Boston Celtics Home,#ffffff,,,
11/3/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Atlanta Hawks,Alternate,Atlanta Hawks Alternate,#C8102E,,,
11/3/2013,Sunday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/3/2013,Sunday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/3/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/3/2013,Monday ,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/4/2013,Monday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/4/2013,Monday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/4/2013,Monday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/4/2013,Monday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Houston Rockets,Alternate,Houston Rockets Alternate,#BA0E2F,,,
11/5/2013,Tuesday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/5/2013,Tuesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
11/5/2013,Tuesday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
11/5/2013,Tuesday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/5/2013,Tuesday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/5/2013,Tuesday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/5/2013,Tuesday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/5/2013,Tuesday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Houston Rockets,Alternate,Houston Rockets Alternate,#BA0E2F,,,
11/5/2013,Wednesday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/6/2013,Wednesday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/6/2013,Wednesday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/6/2013,Wednesday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/6/2013,Wednesday ,San Antonio Spurs,Home,San Antonio Spurs Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/6/2013,Wednesday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
11/6/2013,Wednesday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/6/2013,Wednesday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Toronto Raptors,Away,Toronto Raptors Away,#BA0E2F,,,
11/6/2013,Wednesday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
11/6/2013,Thursday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
11/6/2013,Thursday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/7/2013,Thursday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/7/2013,Thursday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
11/7/2013,Thursday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Los Angeles Clippers,Alternate,Los Angeles Clippers Alternate,#023DA5,,,
11/8/2013,Friday ,Orlando Magic,Alternate,Orlando Magic Alternate,#000000,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/8/2013,Friday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/8/2013,Friday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/8/2013,Friday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
11/8/2013,Friday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/8/2013,Friday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/8/2013,Friday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/8/2013,Friday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/8/2013,Friday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
11/8/2013,Friday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Oklahoma City Thunder,Alternate,Oklahoma City Thunder Alternate,#051D42,,,
11/8/2013,Saturday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Toronto Raptors,Away,Toronto Raptors Away,#BA0E2F,,,
11/8/2013,Saturday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Sacramento Kings,Alternate,Sacramento Kings Alternate,#000000,,,
11/9/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Dallas Mavericks,Away,Dallas Mavericks Away,#0257B7,,,
11/9/2013,Saturday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/9/2013,Saturday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/9/2013,Saturday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/9/2013,Saturday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
11/9/2013,Saturday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/9/2013,Saturday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
11/9/2013,Sunday ,Toronto Raptors,Hoops For Troops,Toronto Raptors Hoops For Troops,#3E441E,,Utah Jazz,Home,Utah Jazz Home,#ffffff,,,
11/9/2013,Sunday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/10/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/10/2013,Sunday ,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/10/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/10/2013,Monday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/11/2013,Monday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
11/11/2013,Monday ,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/11/2013,Monday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/11/2013,Monday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/11/2013,Monday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/11/2013,Monday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
11/11/2013,Monday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
11/11/2013,Monday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Toronto Raptors,Alternate,Toronto Raptors Alternate,#000000,,,
11/11/2013,Tuesday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/12/2013,Tuesday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Milwaukee Bucks,Alternate,Milwaukee Bucks Alternate,#A7192E,,,
11/12/2013,Tuesday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
11/12/2013,Tuesday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/12/2013,Tuesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/13/2013,Wednesday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Milwaukee Bucks,Alternate,Milwaukee Bucks Alternate,#A7192E,,,
11/13/2013,Wednesday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/13/2013,Wednesday ,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
11/13/2013,Wednesday ,San Antonio Spurs,Hoops For Troops,San Antonio Spurs Hoops For Troops,#ACA791,,Washington Wizards,Home,Washington Wizards Home,#ffffff,,,
11/13/2013,Wednesday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/13/2013,Wednesday ,Memphis Grizzlies,Home,Memphis Grizzlies Home,#ffffff,,Toronto Raptors,Alternate,Toronto Raptors Alternate,#000000,,,
11/13/2013,Wednesday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/13/2013,Wednesday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/13/2013,Wednesday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
11/13/2013,Thursday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,New Orleans Pelicans,Away,New Orleans Pelicans Away,#0C2340,,,
11/13/2013,Thursday ,Portland Trail Blazers,Home,Portland Trail Blazers Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/13/2013,Thursday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
11/14/2013,Thursday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
11/14/2013,Thursday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Houston Rockets,Away,Houston Rockets Away,#BA0E2F,,,
11/15/2013,Friday ,Indiana Pacers,Home,Indiana Pacers Home,#ffffff,,Milwaukee Bucks,Alternate,Milwaukee Bucks Alternate,#A7192E,,,
11/15/2013,Friday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/15/2013,Friday ,Denver Nuggets,Alternate,Denver Nuggets Alternate,#FFC72D,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/15/2013,Friday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/15/2013,Friday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/15/2013,Friday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Chicago Bulls,Alternate,Chicago Bulls Alternate,#000000,,,
11/15/2013,Friday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Dallas Mavericks,Alternate,Dallas Mavericks Alternate,#0C2340,,,
11/15/2013,Friday ,Cleveland Cavaliers,Home,Cleveland Cavaliers Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/15/2013,Friday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/15/2013,Friday ,Phoenix Suns,Away,Phoenix Suns Away,#211647,,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,,
11/15/2013,Friday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
11/16/2013,Saturday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
11/16/2013,Saturday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/16/2013,Saturday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/16/2013,Saturday ,Golden State Warriors,Alternate,Golden State Warriors Alternate,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/16/2013,Saturday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/16/2013,Saturday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
11/16/2013,Saturday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,,
11/16/2013,Saturday ,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,Atlanta Hawks,Alternate,Atlanta Hawks Alternate,#C8102E,,,
11/16/2013,Saturday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/16/2013,Saturday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Dallas Mavericks,Alternate,Dallas Mavericks Alternate,#0C2340,,,
11/16/2013,Sunday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/17/2013,Sunday ,Los Angeles Lakers,Alternate,Los Angeles Lakers Alternate,#ffffff,,Detroit Pistons,Alternate,Detroit Pistons Alternate,#051D42,,,
11/17/2013,Sunday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/17/2013,Monday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/18/2013,Monday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Denver Nuggets,Away,Denver Nuggets Away,#438FDE,,,
11/18/2013,Monday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
11/18/2013,Monday ,Chicago Bulls,Home,Chicago Bulls Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
11/18/2013,Monday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/18/2013,Monday ,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/18/2013,Monday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Philadelphia 76ers,Alternate,Philadelphia 76ers Alternate,#023DA5,,,
11/19/2013,Tuesday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/19/2013,Tuesday ,Miami Heat,Home,Miami Heat Home,#ffffff,,Atlanta Hawks,Alternate,Atlanta Hawks Alternate,#C8102E,,,
11/19/2013,Tuesday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,New York Knicks,Away,New York Knicks Away,#023DA5,,,
11/19/2013,Wednesday ,Washington Wizards,Home,Washington Wizards Home,#ffffff,,Minnesota Timberwolves,Away,Minnesota Timberwolves Away,#25608F,,,
11/19/2013,Wednesday ,Sacramento Kings,Home,Sacramento Kings Home,#ffffff,,Phoenix Suns,Away,Phoenix Suns Away,#211647,,,
11/20/2013,Wednesday ,Milwaukee Bucks,Home,Milwaukee Bucks Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/20/2013,Wednesday ,San Antonio Spurs,Home,San Antonio Spurs Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
11/20/2013,Wednesday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
11/20/2013,Wednesday ,Orlando Magic,Home,Orlando Magic Home,#ffffff,,Miami Heat,Away,Miami Heat Away,#000000,,,
11/20/2013,Wednesday ,Cleveland Cavaliers,Alternate,Cleveland Cavaliers Alternate,#FFB81D,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
11/20/2013,Wednesday ,Atlanta Hawks,Home,Atlanta Hawks Home,#ffffff,,Detroit Pistons,Away,Detroit Pistons Away,#023DA5,,,
11/20/2013,Wednesday ,Charlotte Hornets,Home,Charlotte Hornets Home,#ffffff,,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,,
11/20/2013,Wednesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Houston Rockets,Alternate,Houston Rockets Alternate,#BA0E2F,,,
11/20/2013,Thursday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
11/20/2013,Thursday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Toronto Raptors,Away,Toronto Raptors Away,#BA0E2F,,,
11/20/2013,Thursday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
11/20/2013,Thursday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Utah Jazz,Away,Utah Jazz Away,#0B2F51,,,
11/20/2013,Thursday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,,
11/21/2013,Thursday ,Denver Nuggets,Alternate,Denver Nuggets Alternate,#FFC72D,,Chicago Bulls,Alternate,Chicago Bulls Alternate,#000000,,,
11/21/2013,Friday ,Oklahoma City Thunder,Home,Oklahoma City Thunder Home,#ffffff,,Los Angeles Clippers,Away,Los Angeles Clippers Away,#D50132,,,
