gameDate,weekDay,homeTeam,homeTeamEdition,homeCombo,homeTeamBGColor,homeTeamColor,awayTeam,awayTeamEdition,awayCombo,awayTeamBGColor,awayTeamColor,courtMain,courtSecondary
10/29/2013,Tuesday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,Los Angeles Clippers,Alternate,Los Angeles Clippers Alternate,#023DA5,,,
10/29/2013,Tuesday ,Miami Heat,Ring Night,Miami Heat Ring Night,#ffffff,,Chicago Bulls,Away,Chicago Bulls Away,#BA0E2F,,,
10/29/2013,Wednesday ,Indiana Pacers,Alternate,Indiana Pacers Alternate,#FFC72D,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
10/30/2013,Wednesday ,New York Knicks,Home,New York Knicks Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
10/30/2013,Wednesday ,Toronto Raptors,Home,Toronto Raptors Home,#ffffff,,Boston Celtics,Away,Boston Celtics Away,#007A34,,,
10/30/2013,Wednesday ,Sacramento Kings,Away,Sacramento Kings Away,#763BBE,,Denver Nuggets,Home,Denver Nuggets Home,#ffffff,,,
10/30/2013,Wednesday ,Golden State Warriors,Home,Golden State Warriors Home,#ffffff,,Los Angeles Lakers,Away,Los Angeles Lakers Away,#702F8B,,,
10/30/2013,Wednesday ,San Antonio Spurs,Alternate,San Antonio Spurs Alternate,#CDD6DC,,Memphis Grizzlies,Away,Memphis Grizzlies Away,#0C2340,,,
10/30/2013,Wednesday ,Philadelphia 76ers,Home,Philadelphia 76ers Home,#ffffff,,Miami Heat,Alternate,Miami Heat Alternate,#872733,,,
10/30/2013,Wednesday ,Cleveland Cavaliers,Away,Cleveland Cavaliers Away,#70263D,,Brooklyn Nets,Home,Brooklyn Nets Home,#ffffff,,,
10/30/2013,Wednesday ,Dallas Mavericks,Home,Dallas Mavericks Home,#ffffff,,Atlanta Hawks,Away,Atlanta Hawks Away,#0C2340,,,
10/30/2013,Wednesday ,Houston Rockets,Home,Houston Rockets Home,#ffffff,,Charlotte Hornets,Away,Charlotte Hornets Away,#0C2340,,,
10/30/2013,Wednesday ,Detroit Pistons,Home,Detroit Pistons Home,#ffffff,,Washington Wizards,Away,Washington Wizards Away,#C8102E,,,
10/30/2013,Thursday ,New Orleans Pelicans,Home,New Orleans Pelicans Home,#ffffff,,Indiana Pacers,Away,Indiana Pacers Away,#051D42,,,
10/30/2013,Thursday ,Minnesota Timberwolves,Home,Minnesota Timberwolves Home,#ffffff,,Orlando Magic,Away,Orlando Magic Away,#0257B7,,,
10/30/2013,Thursday ,Utah Jazz,Home,Utah Jazz Home,#ffffff,,Oklahoma City Thunder,Away,Oklahoma City Thunder Away,#0472CF,,,
10/30/2013,Thursday ,Phoenix Suns,Home,Phoenix Suns Home,#ffffff,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
10/31/2013,Thursday ,Los Angeles Clippers,Home,Los Angeles Clippers Home,#ffffff,,Golden State Warriors,Away,Golden State Warriors Away,#023DA5,,,
10/31/2013,Thursday ,Chicago Bulls,Alternate,Chicago Bulls Alternate,#000000,,New York Knicks,Alternate,New York Knicks Alternate,#FF6821,,,
11/1/2013,Friday ,Boston Celtics,Home,Boston Celtics Home,#ffffff,,Milwaukee Bucks,Away,Milwaukee Bucks Away,#2C5234,,,
11/1/2013,Friday ,Denver Nuggets,Alternate,Denver Nuggets Alternate,#FFC72D,,Portland Trail Blazers,Away,Portland Trail Blazers Away,#000000,,,
11/1/2013,Friday ,Los Angeles Lakers,Home,Los Angeles Lakers Home,#FFC72D,,San Antonio Spurs,Away,San Antonio Spurs Away,#000000,,,
11/1/2013,Friday ,Brooklyn Nets,Away,Brooklyn Nets Away,#000000,,Miami Heat,Home,Miami Heat Home,#ffffff,,,
